Current Official Name of Satellite;Country/Org of UN Registry;Country of Operator/Owner;Operator/Owner;Users;Purpose;Detailed Purpose;Class of Orbit;Type of Orbit;Longitude of GEO (degrees);Perigee (km);Apogee (km);Eccentricity;Inclination (degrees);Period (minutes);Launch Mass (kg.);Dry Mass (kg.);Power (watts);Expected Lifetime (yrs.);Contractor;Country of Contractor;Launch Site;Launch Vehicle;COSPAR Number;NORAD Number
Al-Farabi-2;NR;Kazakhstan;Al-Farabi Kazakh National University;Civil;Technology Development;;LEO;Sun-Synchronous;0.0;573.0;589.0;0.0011509135376204863;97.7;96.2;4.0;;;;Al-Farabi Kazakh National University;Kazakhstan;Vandenberg AFB;Falcon 9;2018-099AZ;43805
Alcomsat;Algeria;Algeria;Algerian Space Agency (ASAL);Government;Communications;;GEO;;-24.8;35744.0;35798.0;0.0006407062006122304;0.04;1436.1;5225.0;;;15.0;China Academy of Space Technology (CAST);China;Xichang Satellite Launch Center;Long March 3B;2017-078A;43039
ALE-2;NR;Japan;Astro Live Experiences;Commercial;Earth Science;;LEO;Sun-Synchronous;0.0;397.0;414.0;0.0012545199616264483;97.01;92.06;75.0;;;;Astro Live Experiences;Japan;Rocket Lab Launch Complex 1;Electron;2019-084A;44824
Alfa Crux;Brazil;Brazil;University of Brasilia;Civil;Technology Development;;LEO;Sun-Synchronous;0.0;499.0;511.0;511.0;97.4;95.0;1.0;;;;University of Brasilia;Brazil;Cape Canaveral;Falcon 9;2022-033D;52160
ALiCE;NR;USA;US Air Force Institute of Technology;Military;Technology Development;;LEO;Polar;0.0;443.0;886.0;0.03148766792238254;120.3;98.0;5.0;;;;US Air Force Institute of Technology;USA;Vandenberg AFB;Atlas 5;2013-072F;39467
Alsat-1B;Algeria;Algeria;Algerian Space Agency (ASAL);Government;Earth Observation;Optical Imaging;LEO;Sun-Synchronous;0.0;661.0;704.0;0.0030485643388869195;98.2;98.4;103.0;;;5.0;Surrey Satellite Technology Ltd.;UK;Satish Dhawan Space Centre;PSLV;2016-059C;41785
AlSat-1N;Algeria;Algeria;Algerian Space Agency (ASAL)/UK Space Agency;Government;Technology Development;;LEO;Sun-Synchronous;0.0;661.0;698.0;0.0026242995957160083;98.2;98.3;10.0;;;;Surrey Satellite Technology Ltd.;UK;Satish Dhawan Space Centre;PSLV;2016-059G;41789
Alsat-2A;Algeria;Algeria;Algerian Space Agency (ASAL);Government;Earth Observation;Optical Imaging;LEO;Sun-Synchronous;0.0;672.0;674.0;0.0001419849495953429;98.1;98.2;130.0;;;5.0;EADS Astrium;France/UK/Germany/Spain;Satish Dhawan Space Centre;PSLV;2010-035D;36798
Alsat-2B;Algeria;Algeria;Algerian Space Agency (ASAL);Government;Earth Observation;Optical Imaging;LEO;Sun-Synchronous;0.0;646.0;660.0;0.0009967250462765201;98.2;97.7;117.0;;;5.0;Airbus Defense and Space;France/UK/Germany/Spain;Satish Dhawan Space Centre;PSLV;2016-059D;41786
Amazonas-2;Brazil;Spain;Hispamar (subsidiary of Hispasat - Spain);Commercial;Communications;Optical Imaging;GEO;;-61.0;35767.0;35805.0;0.00045070689818768383;0.03;1436.08;5465.0;;15300;15.0;EADS Astrium;France/UK/Germany/Spain;Guiana Space Center;Ariane 5;2009-054A;35942
Amazonas-3;Brazil;Spain;Hispamar (subsidiary of Hispasat - Spain);Commercial;Communications;;GEO;;-61.0;35781.0;35791.0;0.00011860707847044311;0.03;1436.05;6265.0;2778;14000;15.0;Space Systems/Loral;USA;Guiana Space Center;Ariane 5 ECA;2013-006A;39078
Amazonas-4A;NR;Spain;Hispamar (subsidiary of Hispasat - Spain);Commercial;Communications;;GEO;;-61.0;35784.0;35795.0;0.00013045695513466714;0.08;1436.24;2938.0;;;15.0;Orbital Sciences Corp.;USA;Guiana Space Center;Ariane 5 ECA;2014-011A;39616
Amazonas-5;NR;Spain;Hispamar (subsidiary of Hispasat - Spain);Commercial;Communications;;GEO;;-61.0;35785.0;35789.0;4.74417060037479e-05;0.04;1436.11;5900.0;;;15.0;Space Systems/Loral;USA;Baikonur Cosmodrome;Proton;2017-053A;42934
Amazonas-Nexus;Brazil;Spain;Hispamar (subsidiary of Hispasat - Spain);Commercial;Communications;;GEO;;-60.97;35777.0;35797.0;0.00023720853001873946;0.02;1436.15;4000.0;4000;;;Thales Alenia Space;France/Italy;Cape Canaveral;Falcon 9;2023-017A;55508
Amazonia-1;Brazil;Brazil;National Institute for Space Research (INPE);Government;Earth Observation;Optical Imaging;LEO;Sun-Synchronous;0.0;761.0;764.0;0.0002103049421661409;98.5;99.9;637.0;;;4.0;National Institute for Space Research (INPE);Brazil;Satish Dhawan Space Centre;PSLV;2021-015A;47699
AMC-11;USA;USA;SES S.A.;Commercial;Communications;;GEO;;-130.93;35774.0;35797.0;0.00027279951607738016;0.04;1436.07;2340.0;2316;6,500 (EOL);15.0;Lockheed Martin;USA;Cape Canaveral;Atlas 2AS;2004-017A;28252
AMC-15;USA;USA;SES S.A.;Commercial;Communications;;GEO;;-105.04;35777.0;35795.0;0.0002134927412467976;0.04;1436.08;4200.0;;;15.0;Lockheed Martin;USA;Baikonur Cosmodrome;Proton M;2004-041A;28446
AMC-18;USA;USA;SES S.A.;Commercial;Communications;;GEO;;-104.97;35773.0;35800.0;0.00032023531365269885;0.06;1436.1;2081.0;918;;15.0;Lockheed Martin Missiles & Space;USA;Guiana Space Center;Ariane 5;2006-054B;29644
AMC-21;United Kingdom;USA;SES S.A.;Commercial;Communications;;GEO;;-124.86;35778.0;35793.0;0.00017791272787655228;3.0;1436.1;2500.0;;5000;15.0;Orbital Sciences Corp.;USA;Guiana Space Center;Ariane 5 ECA;2008-038B;33275
AMC-6;USA;USA;SES S.A.;Commercial;Communications;;GEO;;-71.98;35778.0;35795.0;0.00020162964192947707;0.05;1436.12;3901.0;2500;;15.0;Lockheed Martin Commercial Space Systems;USA;Baikonur Cosmodrome;Proton K;2000-067A;26580
AmGU-1;Russia;Russia;Moscow State University;Civil;Space Science;;LEO;Sun-Synchronous;0.0;514.0;547.0;0.0023911310774581552;97.5;95.2;4.0;;;;Moscow State University;Russia;Vostochny Cosmodrome;Soyuz-2.1b;2019-038J;44394
Amos 17;NR;Israel;Space-Communication Ltd.;Military/Commercial;Communications;;GEO;;17.0;35777.0;35793.0;0.00018977582730399716;0.0;1436.04;6500.0;;;20.0;Boeing Satellite Systems;USA;Cape Canaveral;Falcon 9;2019-050A;44479
