Current Official Name of Satellite;Country/Org of UN Registry;Country of Operator/Owner;Operator/Owner;Users;Purpose;Detailed Purpose;Class of Orbit;Type of Orbit;Longitude of GEO (degrees);Perigee (km);Apogee (km);Eccentricity;Inclination (degrees);Period (minutes);Launch Mass (kg.);Dry Mass (kg.);Power (watts);Expected Lifetime (yrs.);Contractor;Country of Contractor;Launch Site;Launch Vehicle;COSPAR Number;NORAD Number
Starlink-5411 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.8;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-177AX ;54865
Starlink-5412 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175BA ;54806
Starlink-5413 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175BC ;54808
Starlink-5414 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175BD ;54809
Starlink-5415 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175AQ ;54796
Starlink-5416 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.8;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-177AM ;54855
Starlink-5417 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175AZ ;54805
Starlink-5418 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.8;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-177AJ ;54852
Starlink-5419 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.8;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-177AL ;54854
Starlink-5420 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175AS ;54798
Starlink-5421 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175AT ;54799
Starlink-5422 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175AY ;54804
Starlink-5423                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-021AU;55670
Starlink-5424 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175BF ;54811
Starlink-5425 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175AK ;54791
Starlink-5426 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175AW ;54802
Starlink-5427 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.8;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-177AK ;54853
Starlink-5428 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175AU ;54800
Starlink-5429 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175AV ;54801
Starlink-5430 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175AX ;54803
Starlink-5431 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175AL ;54792
Starlink-5432 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.8;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-177AE ;54848
Starlink-5433 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175AM ;54793
Starlink-5434 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.8;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-177AF ;54849
Starlink-5435 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175AR ;54797
Starlink-5436 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175AP ;54795
Starlink-5437 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175AA ;54782
Starlink-5438 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175AE ;54786
Starlink-5439 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175AB ;54783
Starlink-5440 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175AD ;54785
Starlink-5441 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175AF ;54787
Starlink-5442 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175AC ;54784
Starlink-5443 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175Z ;54781
Starlink-5444 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175L ;54768
Starlink-5445 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175AJ ;54790
Starlink-5446 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175AH ;54789
Starlink-5447 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175X ;54779
Starlink-5448 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175N ;54770
Starlink-5449 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175Y ;54780
Starlink-5450 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175W ;54778
Starlink-5451 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175P ;54771
Starlink-5452 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175Q ;54772
Starlink-5453 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175R ;54773
Starlink-5454 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175S ;54774
Starlink-5455                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-021AS;55668
Starlink-5456                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-021AR;55667
Starlink-5458 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175G ;54764
Starlink-5459                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-021AT;55669
Starlink-5460                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-021AV;55671
Starlink-5461                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-021AW;55672
Starlink-5462                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-021AY;55674
Starlink-5463;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.2;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-101AL;53561
Starlink-5463                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-021AX;55673
Starlink-5464;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175A;54758
Starlink-5465 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175T ;54775
Starlink-5466 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175H ;54765
Starlink-5467                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-021AJ;55660
Starlink-5468 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175V ;54777
Starlink-5469                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-021X;55649
Starlink-5470 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175U ;54776
Starlink-5471 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175J ;54766
Starlink-5472 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175K ;54766
Starlink-5472 ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;539.0;541.0;0.0001447178002894356;53.0;95.4;260.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2022-175K ;54767
Starlink-5473                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-021AM;55663
Starlink-5474                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-021AP;55665
Starlink-5475                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-021AK;55661
Starlink-5477                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-021AH;55659
Starlink-5478                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-021Q;55642
Starlink-5479                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-021AL;55662
Starlink-5480                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-021AN;55664
Starlink-5482;USA;USA;SpaceX;Commercial;Communications;;LEO;Sun-Synchronous;0.0;569.0;571.0;0.00014409221902017292;97.7;95.9;300.0;260;;;SpaceX;USA;Cape Canaveral;Falcon 9;2023-058AT;56358
Starlink-5483                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-021R;55643
Starlink-5484                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-021A;55628
Starlink-5487                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-021AA;55652
Starlink-5489                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;564.0;567.0;0.00021627856679403071;43.0;95.8;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-046AV;56136
Starlink-5491                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013B;55332
Starlink-5492                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013A;55331
Starlink-5493                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013C;55333
Starlink-5494                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-021Y;55650
Starlink-5495                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-021H;55635
Starlink-5497                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-021B;55629
Starlink-5498                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-021F;55633
Starlink-5499                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-028Z;55764
Starlink-5500                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-021G;55634
Starlink-5501                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-021W;55648
Starlink-5502                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-021S;55644
Starlink-5506                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-021Z;55651
Starlink-5507                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-021L;55638
Starlink-5508                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-021M;55639
Starlink-5510                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-021V;55647
Starlink-5531                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013BE;55384
Starlink-5532                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-028V;55760
Starlink-5533;USA;USA;SpaceX;Commercial;Communications;;LEO;Sun-Synchronous;0.0;569.0;571.0;0.00014409221902017292;97.7;95.9;300.0;260;;;SpaceX;USA;Cape Canaveral;Falcon 9;2023-058AQ;56355
Starlink-5535;USA;USA;SpaceX;Commercial;Communications;;LEO;Sun-Synchronous;0.0;569.0;571.0;0.00014409221902017292;97.7;95.9;300.0;260;;;SpaceX;USA;Cape Canaveral;Falcon 9;2023-058AR;56356
Starlink-5538;USA;USA;SpaceX;Commercial;Communications;;LEO;Sun-Synchronous;0.0;569.0;571.0;0.00014409221902017292;97.7;95.9;300.0;260;;;SpaceX;USA;Cape Canaveral;Falcon 9;2023-058AS;56357
Starlink-5539                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-028G;55747
Starlink-5540;USA;USA;SpaceX;Commercial;Communications;;LEO;Sun-Synchronous;0.0;569.0;571.0;0.00014409221902017292;97.7;95.9;300.0;260;;;SpaceX;USA;Cape Canaveral;Falcon 9;2023-058Z;56340
Starlink-5543;USA;USA;SpaceX;Commercial;Communications;;LEO;Sun-Synchronous;0.0;569.0;571.0;0.00014409221902017292;97.7;95.9;300.0;260;;;SpaceX;USA;Cape Canaveral;Falcon 9;2023-058AA;56341
Starlink-5544                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-028S;55757
Starlink-5546                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-021E;55632
Starlink-5547                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013X;55352
Starlink-5548;USA;USA;SpaceX;Commercial;Communications;;LEO;Sun-Synchronous;0.0;569.0;571.0;0.00014409221902017292;97.7;95.9;300.0;260;;;SpaceX;USA;Cape Canaveral;Falcon 9;2023-058T;56334
Starlink-5549;USA;USA;SpaceX;Commercial;Communications;;LEO;Sun-Synchronous;0.0;569.0;571.0;0.00014409221902017292;97.7;95.9;300.0;260;;;SpaceX;USA;Cape Canaveral;Falcon 9;2023-058AV;56360
Starlink-5550;USA;USA;SpaceX;Commercial;Communications;;LEO;Sun-Synchronous;0.0;569.0;571.0;0.00014409221902017292;97.7;95.9;300.0;260;;;SpaceX;USA;Cape Canaveral;Falcon 9;2023-058AW;56361
Starlink-5551;USA;USA;SpaceX;Commercial;Communications;;LEO;Sun-Synchronous;0.0;569.0;571.0;0.00014409221902017292;97.7;95.9;300.0;260;;;SpaceX;USA;Cape Canaveral;Falcon 9;2023-058AU;56359
Starlink-5552;USA;USA;SpaceX;Commercial;Communications;;LEO;Sun-Synchronous;0.0;569.0;571.0;0.00014409221902017292;97.7;95.9;300.0;260;;;SpaceX;USA;Cape Canaveral;Falcon 9;2023-058Y;56339
Starlink-5553;USA;USA;SpaceX;Commercial;Communications;;LEO;Sun-Synchronous;0.0;569.0;571.0;0.00014409221902017292;97.7;95.9;300.0;260;;;SpaceX;USA;Cape Canaveral;Falcon 9;2023-058S;56333
Starlink-5554;USA;USA;SpaceX;Commercial;Communications;;LEO;Sun-Synchronous;0.0;569.0;571.0;0.00014409221902017292;97.7;95.9;300.0;260;;;SpaceX;USA;Cape Canaveral;Falcon 9;2023-058X;56338
Starlink-5555                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013BH;55386
Starlink-5556                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013BG;55385
Starlink-5557                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-028AF;55770
Starlink-5558                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-021D;55631
Starlink-5559;USA;USA;SpaceX;Commercial;Communications;;LEO;Sun-Synchronous;0.0;569.0;571.0;0.00014409221902017292;97.7;95.9;300.0;260;;;SpaceX;USA;Cape Canaveral;Falcon 9;2023-058U;56335
Starlink-5560                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-028J;55749
Starlink-5561;USA;USA;SpaceX;Commercial;Communications;;LEO;Sun-Synchronous;0.0;569.0;571.0;0.00014409221902017292;97.7;95.9;300.0;260;;;SpaceX;USA;Cape Canaveral;Falcon 9;2023-058W;56337
